species_code,target_assemblage,method_code,n_rows
ASTSER,sea_star,TS30,165
DERIMB,sea_star,BT,9
DERIMB,sea_star,BT25,4
DERIMB,sea_star,GSES,2
DERIMB,sea_star,IP,183
EVATRO,sea_star,BT25,4
EVATRO,sea_star,GSES,2
EVATRO,sea_star,IP,150
HENSPP,sea_star,BT,34
HENSPP,sea_star,BT25,5
HENSPP,sea_star,GSES,4
HENSPP,sea_star,IP,344
KATTUN,sea_star,IP,679
LEPTAS,sea_star,BT,37
LEPTAS,sea_star,BT25,5
LEPTAS,sea_star,GSES,15
LEPTAS,sea_star,IP,373
ORTKOE,sea_star,IP,3
PATMIN,sea_star,BT,15
PATMIN,sea_star,BT25,4
PATMIN,sea_star,GSES,115
PATMIN,sea_star,IP,328
PATMIN,sea_star,TS30,212
PISBRE,sea_star,BT,10
PISBRE,sea_star,BT25,5
PISBRE,sea_star,GSES,8
PISBRE,sea_star,IP,107
PISGIG,sea_star,BT25,22
PISGIG,sea_star,GSES,152
PISGIG,sea_star,IP,259
PISGIG,sea_star,TS30,220
PISOCH,sea_star,BT,55
PISOCH,sea_star,BT25,158
PISOCH,sea_star,GSES,552
PISOCH,sea_star,IP,1306
PISOCH,sea_star,TS30,344
PYCHEL,sea_star,BT25,4
PYCHEL,sea_star,GSES,35
PYCHEL,sea_star,IP,308
STRFRA,sea_star,TS30,149
STRPUR,sea_star,GSES,1
STRPUR,sea_star,TS30,150
UNIDEN,sea_star,BT,2
